  35, 8457, 1760
  35, 8457, 2048
  35, 8457, 2560
  35, 8457, 4096
1760,   16, 1760
1760,   32, 1760
1760,   64, 1760
1760,  128, 1760
1760, 7000, 1760
2048,   16, 2048
2048,   32, 2048
2048,   64, 2048
2048,  128, 2048
2048, 7000, 2048
2560,   16, 2560
2560,   32, 2560
2560,   64, 2560
2560,  128, 2560
2560, 7000, 2560
3072,   16, 1024
3072,   32, 1024
3072,   64, 1024
3072,  128, 1024
4096,   16, 4096
4096,   32, 4096
4096,   64, 4096
4096,  128, 4096
4096, 7000, 4096
5124, 9124, 1760
5124, 9124, 2048
5124, 9124, 2560
5124, 9124, 4096
7680,   16, 2560
7680,   32, 2560
7680,   64, 2560
7680,  128, 2560
